##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458501.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1870525
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	44	-0.1697074275438979
1105	45	-0.26387844697195106
1105	46	-0.21555770155630682
1105	47	-0.4668015721229182
1105	48	-0.5135605360559339
1105	49	-0.4089120514593674
1105	50	-0.5452595806331431
1105	51	-0.26294796491148986
1106	1	-0.7893829175247546
1106	2	-2.6829787350116163
1106	3	-2.526619459944449
1106	4	-3.245805026441822
1106	5	-1.2329742878011665
1106	6	-0.5725554393074503
1106	7	-0.36038066482777964
1106	8	-0.21023860495088798
1106	9	-0.15638816043129822
1106	10	-0.03340772522752644
1106	11	0.05886984668546802
1106	12	0.11850316523246818
1106	13	-0.1288437262784612
1106	14	-0.1711285029565488
1106	15	-0.14360408351493703
1106	16	-0.045029899942662155
1106	17	-0.2880945599569671
1106	18	-0.1690290383613373
1106	19	-0.051540604715320626
1106	20	-0.14879810880096755
1106	21	-0.13473915871618658
1106	22	-0.15425053782382037
1106	23	-0.19689866881111584
1106	24	-0.1371787565865148
1106	25	-0.15995155219895452
1106	26	-0.1849156428301697
1106	27	-0.2097749276618046
1106	28	-0.3242187013338267
1106	29	-0.3895712550970387
1106	30	-0.35054073427112087
1106	31	-0.2039478835708337
1106	32	-0.2004642313766638
1106	33	-0.2427721712834412
1106	34	-0.41969398544897984
1106	35	-0.18078647331635267
1106	36	-0.2534659694476531
1106	37	-0.2667244692367845
1106	38	-0.37063514155576627
1106	39	-0.37623132108586077
1106	40	-0.2972116023216955
1106	41	-0.2957686082184239
1106	42	-0.42141938332743933
1106	43	-0.15383913397985083
1106	44	-0.29983922720840894
1106	45	-0.2445526222255623
1106	46	-0.2262374683108419
1106	47	-0.4069437560034217
1106	48	-0.3837147017241236
1106	49	-0.34681763497242457
1106	50	-0.44158197060039583
1106	51	-0.160540424373103
1107	1	-0.15779804856110502
1107	2	2.717898205298834
1107	3	-0.2958192088273499
1107	4	-1.3188850269342076
1107	5	-0.3863526744968837
1107	6	-0.1315967628422925
1107	7	-0.15015921401103327
1107	8	-0.040545977207365524
1107	9	-0.02282586738748904
1107	10	-0.1417002520318178
1107	11	0.0027742252321871774
1107	12	-0.10552160180718317
1107	13	-0.21282270137601245
1107	14	-0.2341931163716211
1107	15	-0.20074504145281935
1107	16	-0.22079463768531582
1107	17	-0.23185393068705196
1107	18	-0.18951699335721628
1107	19	-0.24641880061128063
1107	20	-0.1829025193528082
1107	21	-0.07518279892939006
1107	22	0.09385562070000475
1107	23	-0.19489416347487776
1107	24	-0.16759420767407818
1107	25	-0.16306614284114573
1107	26	-0.11591752620843465
1107	27	-0.07495138666447332
1107	28	-0.16490878097734196
1107	29	-0.12085576831145772
1107	30	-0.1006565681891658
1107	31	-0.4419652894326944
1107	32	-0.25295336810007285
1107	33	-0.1549781857842234
1107	34	-0.14522225458742355
1107	35	-0.0766587975036046
1107	36	-0.2058861720646874
1107	37	-0.3488183427180829
1107	38	-0.40637722952060784
1107	39	-0.4658262101142583
1107	40	-0.22410476676647306
1107	41	-0.4030160447313449
1107	42	-0.31472243489261587
1107	43	-0.34491906061426647
1107	44	-0.41446359787694576
1107	45	-0.2868500975139199
1107	46	-0.3577526645884035
1107	47	-0.23937577589583725
1107	48	-0.32562442266408453
1107	49	-0.48512013260281606
1107	50	-0.4371642791543806
1107	51	-0.23498211965973326
1108	1	-0.7288403909456456
1108	2	-1.2253771089953567
1108	3	-0.5597792473115533
1108	4	-1.7398872653411352
1108	5	-0.7781587781076098
1108	6	-0.5061420559428456
1108	7	-0.3614235041023264
1108	8	-0.12892841107971265
1108	9	-0.34273900470897445
1108	10	-0.35558252197549933
1108	11	-0.22135529402747522
1108	12	-0.44595899861994326
1108	13	-0.3547427256530682
1108	14	-0.5008955448577339
1108	15	-0.3904270978989217
1108	16	-0.8355317761152676
1108	17	-0.49231438484751777
1108	18	-0.5195668745089321
1108	19	-0.6276522369854902
1108	20	-0.49973150467339167
1108	21	-0.6483898779156831
1108	22	-0.4043365290683454
1108	23	-0.5965672116503882
1108	24	-0.5969004576496815
1108	25	-0.5578815084215947
1108	26	-0.6735647985524977
1108	27	-0.5163681109013254
1108	28	-0.6516295831349552
1108	29	-0.5395681281426903
1108	30	-0.7400466754843791
1108	31	-0.5758693970167386
1108	32	-0.6519933120520847
1108	33	-0.6424422775998906
1108	34	-0.7108791011462898
1108	35	-0.49349597925756683
1108	36	-0.4861629675714809
1108	37	-0.6247576149528555
1108	38	-0.5726191940885954
1108	39	-0.5093395137062515
1108	40	-0.2928979688007445
1108	41	-0.6600869321708913
1108	42	-0.5551091894562674
1108	43	-0.6536952940799097
1108	44	-0.7358023291471198
1108	45	-0.7073746985232532
1108	46	-0.6422318397930198
1108	47	-0.3940044189177456
1108	48	-0.35738730960404297
1108	49	-0.5065252647410361
1108	50	-0.6021448223827619
1108	51	-0.23959139372895066
1109	1	-0.5648049933498562
1109	2	-1.6600400280426832
1109	3	-1.25466441247303
1109	4	0.8732158351483079
1109	5	0.4732583544516231
1109	6	0.09849280715641129
1109	7	-0.1965080303254254
1109	8	-0.09804587744329751
1109	9	-0.2234423488960715
1109	10	-0.3429627210293802
1109	11	-0.35993529443705086
1109	12	-0.3172973902154439
1109	13	-0.30351271807591473
1109	14	-0.5003295621827988
1109	15	-0.7642357440458412
1109	16	-1.3245364555197412
1109	17	-0.6506095764266391
1109	18	-0.6568556869436577
1109	19	-0.4621638689405998
1109	20	-0.519531170869044
1109	21	-0.3752726470582388
1109	22	-0.4736718386053198
1109	23	-0.36362604722614833
1109	24	-0.3115596905140521
1109	25	-0.26978685543475933
1109	26	-0.45908731498672495
1109	27	-0.5300138994373
1109	28	-0.8218134827069434
1109	29	-0.5858148771341121
1109	30	-0.5169322604611395
1109	31	-0.5742236699171528
1109	32	-0.5457293608735299
1109	33	-0.5966002407790185
1109	34	-0.521732350106987
1109	35	-0.46697261295337
1109	36	-0.6304368407258281
1109	37	-0.601074401420469
1109	38	-0.6107320220052941
1109	39	-0.5261751304251376
1109	40	-0.4058843401631975
1109	41	-0.47296553387882767
1109	42	-0.3912921470037318
1109	43	-0.45862761166505095
1109	44	-0.4906071662383127
1109	45	-0.48502798229790045
1109	46	-0.44640797790200537
1109	47	-0.3933624087193053
1109	48	-0.7542036250593895
1109	49	-0.6242780754555355
1109	50	-0.5838593070339044
1109	51	-0.5082882768564758
1110	1	-1.384441884275116
1110	2	-2.944976756772249
1110	3	-2.457694556954266
1110	4	-5.4211835549360785
1110	5	-2.8559675161356424
1110	6	-1.1996542751896655
1110	7	-0.7670123318748736
1110	8	-0.5192030727284092
1110	9	-0.6512219122383485
1110	10	-0.43546509416917445
1110	11	-0.4324913341712602
1110	12	-0.41168781095257856
1110	13	-0.3018788019841594
1110	14	-0.3300435147498959
1110	15	-0.38603275276852855
1110	16	-1.6387147511942786
1110	17	-0.9293499810936936
